Exp,Year,Plot,NumSp,Achmi,Andge,Asctu,Koecr,Lesca,Liaas,Luppe,Panvi,Petpu,Poapr,Schsc,Sornu,Monfi,Amoca
120,2008,X109,1,0,38.98,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X11,1,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X129,1,0,0,0,0,0,157.08,0,0,0,0,0,0,0,0
120,2008,X135,1,0,0,0,0,0,0,0,0,0,0,95.22,0,0,0
120,2008,X137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,517.34
120,2008,X142,1,0,0,0,72.63,0,0,0,0,0,0,0,0,0,0
120,2008,X157,1,0,0,0,30.33,0,0,0,0,0,0,0,0,0,0
120,2008,X16,1,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0
120,2008,X163,1,0,0,0,0,0,0,0,0,0,0,0,47.1,0,0
120,2008,X167,1,0,0,0,0,0,77.28,0,0,0,0,0,0,0,0
120,2008,X185,1,0,0,0,0,0,0,0,0,126.9,0,0,0,0,0
120,2008,X2,1,0,0,0,0,168.85,0,0,0,0,0,0,0,0,0
120,2008,X20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,284.9
120,2008,X205,1,0,0,0,0,0,0,0,0,146.23,0,0,0,0,0
120,2008,X230,1,0,0,0,0,0,0,0,71.28,0,0,0,0,0,0
120,2008,X234,1,0,0,0,0,0,0,165.2,0,0,0,0,0,0,0
120,2008,X237,1,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0
120,2008,X265,1,0,0,0,0,0,0,123.64,0,0,0,0,0,0,0
120,2008,X267,1,0,0,0,0,0,151.64,0,0,0,0,0,0,0,0
120,2008,X268,1,0,0,0,78.15,0,0,0,0,0,0,0,0,0,0
120,2008,X278,1,0,0,0,0,0,0,0,0,0,0,0,45.98,0,0
120,2008,X280,1,0,0,0,0,0,0,0,0,0,0,32.84,0,0,0
120,2008,X282,1,0,0,0,0,0,0,0,0,0,0,0,66.37,0,0
120,2008,X29,1,0,0,0,0,115.15,0,0,0,0,0,0,0,0,0
120,2008,X290,1,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0
120,2008,X291,1,0,0,0,0,0,0,0,0,45.7,0,0,0,0,0
120,2008,X304,1,0,0,0,59.55,0,0,0,0,0,0,0,0,0,0
120,2008,X308,1,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0
120,2008,X31,1,0,0,0,0,0,0,0,0,0,0,57.22,0,0,0
120,2008,X324,1,0,0,0,0,0,0,0,0,0,11.07,0,16.03,0,0
120,2008,X334,1,0,0,0,0,0,0,0,0,0,0,0,133.78,0,0
120,2008,X338,1,0,0,0,0,0,0,0,0,0,0,0,0,129.95,0
120,2008,X5,1,0,43.65,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X69,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X83,1,0,0,0,0,0,0,197,0,0,0,0,0,0,0
120,2008,X87,1,0,0,0,0,0,0,0,0,0,0,0,47.35,0,0
120,2008,X92,1,0,0,0,0,0,0,0,0,0,0,0,66,0,0
120,2008,X94,1,0,0,0,0,43.67,0,0,0,0,0,0,0,0,0
120,2008,X117,2,0,0.07,37.22,0,0.87,0,156.08,0,0,2.85,0,0.22,0,0
120,2008,X125,2,0,0.29,0,0.29,0,0,0,0,160.33,2.72,120.73,0,0,0
120,2008,X139,2,0,0.44,0,23.4,286.08,0,0,0,0.83,18.05,0.72,44.45,0,0
120,2008,X14,2,0,0,0,0,0,138.02,0.03,0,0,0,0.07,0,0,0
120,2008,X165,2,0,0,0,3.07,0,0,0,4.35,0,0.33,1.03,84.23,0.23,0
120,2008,X168,2,0.01,70.08,0,17.68,0,0,0.03,0,0,1.52,1.38,11.95,0,0
120,2008,X171,2,0,0.04,0,9.42,0,0,125.37,0,126.9,44.58,0,1.12,0,0
120,2008,X175,2,0,54.24,0,0,0,0,161.99,0,0,46.43,4.32,52.9,0,0
120,2008,X193,2,0,96.12,0,0,0,0,143.77,0,0,38.13,2.12,0,0,0
120,2008,X197,2,0,0,1.52,0.25,0.41,0,0,42.37,0,3.45,22.06,76.48,0,0
120,2008,X199,2,3.42,12.77,0,0,0,0,88.25,0,0,27.2,171.05,0.44,0,0
120,2008,X211,2,0,0,0,0,2.58,1.77,0,0,0,8.02,0.15,0,28.73,0
120,2008,X224,2,1.32,3.42,0,3.7,0,0.23,0,0.3,0,4.35,0.41,90.43,0,0
120,2008,X225,2,0,0,0,2.13,0,0,0,0,153.8,1.76,86.63,0.47,0,0
120,2008,X236,2,0.26,4.3,0,0.71,110.63,0,0,110.75,0,2.74,14.85,50.98,0,0
120,2008,X259,2,0,0,0,1.25,148.11,0,0,0,0,2.09,200.13,0.09,0,0
120,2008,X26,2,0,0.53,0,3.67,0,0,0,0.42,124.88,3.72,9.92,28.08,0,0
120,2008,X28,2,3.18,0,0,0,28.67,0,0.04,0,74.92,3.8,0,0,0,0
120,2008,X300,2,0,53.9,0,0,0,0,97.48,197.22,0,62.11,5.17,4.01,0.84,0
120,2008,X311,2,0,0,0,16.6,0,0,0,51.57,0,0,12.12,35.07,0,0
120,2008,X330,2,0,20.67,0,1.3,0,93.38,0.04,0,0,0.02,4.87,3.72,3.27,0
120,2008,X335,2,0,0.13,0,41.85,0,0,0,0,0,0,0,0,0,0
120,2008,X342,2,0,0,0,0,0,0,100.48,0,0,7.45,0,0,113.87,0
120,2008,X48,2,0,0,0,24.66,94.11,0,18.06,1.53,0,7.53,0.34,0,0,0
120,2008,X56,2,0.02,0.19,0,0,0.12,0,118.52,0,0,31.18,105.45,0,0,0
120,2008,X6,2,0,0.03,0,0,0.88,1.45,0,4.73,0,0,78.63,0.12,0,0
