Exp,Year,Plot,NumSp,Achmi,Amoca,Andge,Asctu,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Schsc,Sornu
120,2008,X104,6,1,0,0,0,1,0,1,1,0,0,1,0,1,0
120,2008,X107,12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
120,2008,X108,12,1,1,1,0,1,0,1,1,1,1,1,1,1,1
120,2008,X109,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,2008,X11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X110,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0
120,2008,X111,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0
120,2008,X115,5,0,0,1,1,1,0,0,0,1,0,0,1,0,0
120,2008,X117,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
120,2008,X118,6,1,0,1,1,1,0,0,0,1,0,1,0,0,0
120,2008,X12,8,1,1,0,0,1,0,0,1,1,0,0,1,1,1
120,2008,X125,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
120,2008,X129,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,2008,X130,6,1,0,0,1,0,0,1,0,0,1,1,0,1,0
120,2008,X133,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0
120,2008,X135,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,2008,X136,12,1,1,1,1,0,1,1,1,1,1,1,0,1,1
120,2008,X137,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X138,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0
120,2008,X139,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
120,2008,X14,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
120,2008,X142,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,2008,X146,6,1,0,1,0,0,1,0,0,1,1,0,1,0,0
120,2008,X149,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1
120,2008,X15,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0
120,2008,X156,12,1,1,1,1,1,1,1,0,1,1,1,0,1,1
120,2008,X157,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,2008,X16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,2008,X160,13,1,1,1,1,1,1,1,1,1,1,1,0,1,1
120,2008,X163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X164,12,0,1,1,1,1,1,1,0,1,1,1,1,1,1
120,2008,X165,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
120,2008,X167,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,2008,X168,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
120,2008,X169,12,1,0,1,1,1,1,1,1,1,1,1,1,0,1
120,2008,X170,6,1,1,0,1,1,0,0,0,1,0,1,0,0,0
120,2008,X171,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
120,2008,X174,12,1,1,0,1,1,1,1,1,1,1,1,0,1,1
120,2008,X175,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
120,2008,X176,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0
120,2008,X177,7,0,1,1,1,1,0,1,0,0,0,0,0,1,1
120,2008,X178,6,1,0,0,0,1,0,1,0,1,1,0,0,1,0
120,2008,X185,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,2008,X186,12,1,1,0,1,1,1,0,1,1,1,1,1,1,1
120,2008,X190,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0
120,2008,X193,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120,2008,X197,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,2008,X199,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
120,2008,X2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,2008,X20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X201,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1
120,2008,X202,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,2008,X205,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,2008,X206,7,0,0,1,1,0,1,0,1,1,0,0,1,0,1
120,2008,X208,7,1,0,0,0,1,1,0,1,0,1,0,1,1,0
120,2008,X210,7,1,0,0,0,1,1,1,1,0,0,0,1,1,0
120,2008,X211,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
120,2008,X213,7,1,1,1,0,1,1,0,0,0,0,0,1,1,0
120,2008,X22,5,0,1,0,1,1,0,1,0,1,0,0,0,0,0
120,2008,X220,13,1,1,1,1,1,1,0,1,1,1,1,1,1,1
120,2008,X223,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0
120,2008,X224,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X225,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
120,2008,X227,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1
120,2008,X229,4,0,0,1,0,0,0,0,0,0,0,1,1,1,0
120,2008,X230,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,2008,X232,7,0,1,0,0,1,0,0,1,1,1,0,0,1,1
120,2008,X233,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0
120,2008,X234,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,2008,X235,13,1,1,1,1,0,1,1,1,1,1,1,1,1,1
120,2008,X236,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
120,2008,X237,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,2008,X239,12,1,1,1,1,1,1,0,1,1,0,1,1,1,1
120,2008,X24,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0
120,2008,X242,12,0,1,1,1,1,0,1,1,1,1,1,1,1,1
120,2008,X253,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,2008,X257,12,1,1,0,0,1,1,1,1,1,1,1,1,1,1
120,2008,X259,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
120,2008,X26,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
120,2008,X265,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,2008,X266,6,1,1,1,0,0,0,0,0,0,0,1,0,1,1
120,2008,X267,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,2008,X268,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,2008,X27,13,1,1,0,1,1,1,1,1,1,1,1,1,1,1
120,2008,X273,13,1,0,1,1,1,1,1,1,1,1,1,1,1,1
120,2008,X278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X28,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
120,2008,X280,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,2008,X282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X283,6,1,0,1,1,0,0,0,0,0,1,0,0,1,1
120,2008,X286,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1
120,2008,X287,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0
120,2008,X29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,2008,X290,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,2008,X291,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,2008,X292,7,0,1,1,0,1,1,0,1,0,0,0,1,0,1
120,2008,X293,6,0,0,1,1,0,1,0,1,0,0,1,0,1,0
120,2008,X299,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1
120,2008,X3,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0
120,2008,X30,12,1,1,1,1,1,0,1,1,1,1,0,1,1,1
120,2008,X300,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
120,2008,X301,13,1,1,1,1,1,1,1,1,1,1,0,1,1,1
120,2008,X302,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
120,2008,X303,7,1,1,0,0,1,0,1,1,1,0,0,1,0,0
120,2008,X304,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,2008,X307,6,0,0,0,1,0,0,0,1,1,1,1,0,1,0
120,2008,X308,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,2008,X31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,2008,X311,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
120,2008,X313,7,1,1,0,0,1,1,1,1,0,0,1,0,0,0
120,2008,X318,12,1,1,1,1,1,1,0,1,1,1,0,1,1,1
120,2008,X324,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,2008,X325,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0
120,2008,X328,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
120,2008,X329,12,1,1,1,0,1,1,0,1,1,1,1,1,1,1
120,2008,X33,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0
120,2008,X330,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,2008,X331,12,1,1,1,1,1,1,1,1,1,1,1,0,1,0
120,2008,X334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X335,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120,2008,X336,12,1,1,1,1,1,1,1,1,1,1,0,0,1,1
120,2008,X338,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,2008,X339,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
120,2008,X34,12,1,1,1,1,1,0,0,1,1,1,1,1,1,1
120,2008,X342,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120,2008,X35,12,0,1,1,1,1,1,1,1,1,1,1,0,1,1
120,2008,X44,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0
120,2008,X45,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0
120,2008,X46,12,1,1,1,1,1,0,1,1,1,1,1,1,1,0
120,2008,X48,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
120,2008,X5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,2008,X50,6,1,1,0,0,1,1,0,0,0,0,1,1,0,0
120,2008,X53,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1
120,2008,X56,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
120,2008,X57,7,1,1,0,0,1,1,0,0,1,0,0,1,1,0
120,2008,X58,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1
120,2008,X6,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
120,2008,X62,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
120,2008,X67,5,0,1,0,0,1,0,0,1,1,0,0,0,0,1
120,2008,X68,12,1,0,0,1,1,1,1,1,1,1,1,1,1,1
120,2008,X69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2008,X70,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0
120,2008,X74,5,1,1,0,1,1,0,0,0,0,0,0,0,0,1
120,2008,X75,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,2008,X81,6,1,0,0,0,0,1,1,0,0,0,1,1,1,0
120,2008,X82,13,1,1,1,1,0,1,1,1,1,1,1,1,1,1
120,2008,X83,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,2008,X87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X89,12,1,1,1,1,1,0,1,1,0,1,1,1,1,1
120,2008,X9,13,1,1,1,1,0,1,1,1,1,1,1,1,1,1
120,2008,X92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,2008,X93,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0
120,2008,X94,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,2008,X98,6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
